id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref
sp_0000,I Want It That Way,Backstreet Boys,🎵✨🎧,"[""Walk Like an Egyptian — The Bangles"", ""Call Me — Blondie"", ""I Want It That Way — Backstreet Boys"", ""You're So Vain — Carly Simon""]",2,,,,From 'The New Best Of (All Hits & Remixes) 2016' (2016),"[""From album: The New Best Of (All Hits & Remixes) 2016"", ""Release year: 2016""]",Playlist Import,2016,
sp_0001,Wannabe,Spice Girls,🎵✨,"[""Billie Jean — Michael Jackson"", ""Wannabe — Spice Girls"", ""Let's Groove — Earth, Wind & Fire"", ""I Want To Hold Your Hand - Remastered 2015 — The Beatles""]",1,,,,From 'Spice' (1996),"[""From album: Spice"", ""Release year: 1996"", ""Spotify popularity: 82/100""]",Playlist Import,1996,
sp_0002,...Baby One More Time,Britney Spears,🎵✨,"[""...Baby One More Time — Britney Spears"", ""Shout — The Isley Brothers"", ""American Pie — Don McLean"", ""Spirit in the Sky — Norman Greenbaum""]",0,,,,From 'Greatest Hits: My Prerogative' (2007),"[""From album: Greatest Hits: My Prerogative"", ""Release year: 2007"", ""Spotify popularity: 36/100""]",Playlist Import,2007,
sp_0003,Black or White - Single Version,Michael Jackson,🎵✨,"[""U Can't Touch This — MC Hammer"", ""Rock And Roll All Nite — KISS"", ""Paint It, Black - (Original Single Mono Version) — The Rolling Stones"", ""Black or White - Single Version — Michael Jackson""]",3,,,,From 'The Essential Michael Jackson' (2005),"[""From album: The Essential Michael Jackson"", ""Release year: 2005"", ""Spotify popularity: 59/100""]",Playlist Import,2005,
sp_0004,Livin' la Vida Loca,Ricky Martin,🎵✨,"[""Fly Me To The Moon — Frank Sinatra, Count Basie"", ""Livin' la Vida Loca — Ricky Martin"", ""Moondance - 2013 Remaster — Van Morrison"", ""La Bamba - Single Version — Ritchie Valens""]",1,,,,From 'Ricky Martin' (1999),"[""From album: Ricky Martin"", ""Release year: 1999"", ""Spotify popularity: 78/100""]",Playlist Import,1999,
sp_0005,Thunderstruck,AC/DC,🎵✨🎧,"[""Respect — Aretha Franklin"", ""Crazy Train — Ozzy Osbourne"", ""Thunderstruck — AC/DC"", ""Dream On — Aerosmith""]",2,,,,From 'The Razors Edge' (1990),"[""From album: The Razors Edge"", ""Release year: 1990"", ""Spotify popularity: 87/100""]",Playlist Import,1990,
sp_0006,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,🎵✨🎧,"[""Fly Me To The Moon — Frank Sinatra, Count Basie"", ""Chicken Fried — Zac Brown Band"", ""Everybody (Backstreet's Back) - Radio Edit — Backstreet Boys"", ""You're So Vain — Carly Simon""]",2,,,,From 'The New Best Of (All Hits & Remixes) 2016' (2016),"[""From album: The New Best Of (All Hits & Remixes) 2016"", ""Release year: 2016""]",Playlist Import,2016,
sp_0007,Macarena - Bayside Boys Remix,Los Del Rio,🎵✨🎧,"[""Riptide — Vance Joy"", ""Come Together - Remastered 2009 — The Beatles"", ""Respect — Aretha Franklin"", ""Macarena - Bayside Boys Remix — Los Del Rio""]",3,,,,From 'Alegria Y Cosabuena' (2001),"[""From album: Alegria Y Cosabuena"", ""Release year: 2001"", ""Spotify popularity: 57/100""]",Playlist Import,2001,
sp_0008,Smells Like Teen Spirit,Nirvana,🎵✨🎧,"[""Karma Chameleon — Culture Club"", ""Superstition - Single Version — Stevie Wonder"", ""Californication — Red Hot Chili Peppers"", ""Smells Like Teen Spirit — Nirvana""]",3,,,,From 'Nevermind (Remastered)' (1991),"[""From album: Nevermind (Remastered)"", ""Release year: 1991"", ""Spotify popularity: 80/100""]",Playlist Import,1991,
sp_0009,Enter Sandman,Metallica,🎵✨🎧,"[""Enter Sandman — Metallica"", ""WAP (feat. Megan Thee Stallion) — Cardi B, Megan Thee Stallion"", ""All Along the Watchtower — Jimi Hendrix"", ""You Give Love A Bad Name — Bon Jovi""]",0,,,,From 'Metallica' (1991),"[""From album: Metallica"", ""Release year: 1991"", ""Spotify popularity: 8/100""]",Playlist Import,1991,
