id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref
sp_0000,Wannabe,Spice Girls,🎵✨🎧,"[""Always Come Back To Your Love — Samantha Mumba"", ""Thinking of You (I Drive Myself Crazy) — *NSYNC"", ""Wannabe — Spice Girls"", ""Bye Bye Bye — *NSYNC""]",2,,,,From 'Spice' (1996),"[""From album: Spice"", ""Release year: 1996"", ""Spotify popularity: 82/100""]",Playlist Import,1996,
sp_0001,Spice Up Your Life,Spice Girls,🎵✨🎧,"[""Show Me Your Colours — S Club"", ""I'm Like A Bird — Nelly Furtado"", ""Quit Playing Games (With My Heart) — Backstreet Boys"", ""Spice Up Your Life — Spice Girls""]",3,,,,From 'Spiceworld' (1997),"[""From album: Spiceworld"", ""Release year: 1997"", ""Spotify popularity: 67/100""]",Playlist Import,1997,
sp_0002,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,🎵✨🎧,"[""World of Our Own — Westlife"", ""Come on over Baby (All I Want Is You) - Radio Version — Christina Aguilera"", ""Why Can't I? — Liz Phair"", ""Thinking of You (I Drive Myself Crazy) — *NSYNC""]",1,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 64/100""]",Playlist Import,1999,
sp_0003,What a Girl Wants,Christina Aguilera,🎵✨🎧,"[""U Make Me Wanna — Blue"", ""Bye Bye Bye — *NSYNC"", ""What a Girl Wants — Christina Aguilera"", ""Eternal Flame - Single Version — Atomic Kitten""]",2,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 67/100""]",Playlist Import,1999,
sp_0004,Genie In a Bottle,Christina Aguilera,🎵✨🎧,"[""Breathless — The Corrs"", ""If You Come Back — Blue"", ""Genie In a Bottle — Christina Aguilera"", ""(You Drive Me) Crazy — Britney Spears""]",2,,,,From 'Christina Aguilera (Expanded Edition)' (1999),"[""From album: Christina Aguilera (Expanded Edition)"", ""Release year: 1999"", ""Spotify popularity: 79/100""]",Playlist Import,1999,
sp_0005,(You Drive Me) Crazy,Britney Spears,🚗,"[""What a Girl Wants — Christina Aguilera"", ""True To Your Heart — 98º, Stevie Wonder"", ""It's Gonna Be Me — *NSYNC"", ""(You Drive Me) Crazy — Britney Spears""]",3,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 69/100""]",Playlist Import,1999,
sp_0006,...Baby One More Time,Britney Spears,🎵✨🎧,"[""The Game of Love (feat. Michelle Branch) - Main / Radio Mix — Santana, Michelle Branch"", ""...Baby One More Time — Britney Spears"", ""All You Wanted — Michelle Branch"", ""This I Promise You — *NSYNC""]",1,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 82/100""]",Playlist Import,1999,
sp_0007,Sometimes,Britney Spears,🎵✨,"[""I'm Like A Bird — Nelly Furtado"", ""Can't Fight The Moonlight — LeAnn Rimes"", ""Tearin' up My Heart - Radio Edit — *NSYNC"", ""Sometimes — Britney Spears""]",3,,,,From '...Baby One More Time (Digital Deluxe Version)' (1999),"[""From album: ...Baby One More Time (Digital Deluxe Version)"", ""Release year: 1999"", ""Spotify popularity: 71/100""]",Playlist Import,1999,
sp_0008,Oops!...I Did It Again,Britney Spears,🎵✨🎧,"[""Genie In a Bottle — Christina Aguilera"", ""Shape of My Heart — Backstreet Boys"", ""Oops!...I Did It Again — Britney Spears"", ""Bye Bye Bye — *NSYNC""]",2,,,,From 'Oops!... I Did It Again' (2000),"[""From album: Oops!... I Did It Again"", ""Release year: 2000"", ""Spotify popularity: 83/100""]",Playlist Import,2000,
sp_0009,Bye Bye Bye,*NSYNC,🎵✨🎧,"[""What You Do About Me — M2M"", ""Thinking of You (I Drive Myself Crazy) — *NSYNC"", ""Bye Bye Bye — *NSYNC"", ""Breathless — The Corrs""]",2,,,,From 'No Strings Attached' (2000),"[""From album: No Strings Attached"", ""Release year: 2000"", ""Spotify popularity: 81/100""]",Playlist Import,2000,
sp_0010,Tearin' up My Heart - Radio Edit,*NSYNC,❤️,"[""Genie In a Bottle — Christina Aguilera"", ""The Tide Is High - Radio Mix — Atomic Kitten"", ""Why Can't I? — Liz Phair"", ""Tearin' up My Heart - Radio Edit — *NSYNC""]",3,,,,From ''N Sync UK Version' (1997),"[""From album: 'N Sync UK Version"", ""Release year: 1997"", ""Spotify popularity: 68/100""]",Playlist Import,1997,
sp_0011,This I Promise You,*NSYNC,🎵✨🎧,"[""Thinking of You (I Drive Myself Crazy) — *NSYNC"", ""This I Promise You — *NSYNC"", ""Why Can't I? — Liz Phair"", ""Never Had A Dream Come True — S Club""]",1,,,,From 'No Strings Attached' (2000),"[""From album: No Strings Attached"", ""Release year: 2000"", ""Spotify popularity: 68/100""]",Playlist Import,2000,
sp_0012,It's Gonna Be Me,*NSYNC,🎵✨,"[""This I Promise You — *NSYNC"", ""Shape of My Heart — Backstreet Boys"", ""It's Gonna Be Me — *NSYNC"", ""Don't Say You Love Me — M2M""]",2,,,,From 'No Strings Attached' (2000),"[""From album: No Strings Attached"", ""Release year: 2000"", ""Spotify popularity: 74/100""]",Playlist Import,2000,
sp_0013,Quit Playing Games (With My Heart),Backstreet Boys,❤️,"[""U Make Me Wanna — Blue"", ""Quit Playing Games (With My Heart) — Backstreet Boys"", ""All the Love in the World — The Corrs"", ""Shape of My Heart — Backstreet Boys""]",1,,,,From 'Backstreet Boys' (1996),"[""From album: Backstreet Boys"", ""Release year: 1996"", ""Spotify popularity: 65/100""]",Playlist Import,1996,
sp_0014,I Want It That Way,Backstreet Boys,🎵✨🎧,"[""What You Do About Me — M2M"", ""I Want It That Way — Backstreet Boys"", ""More Than That — Backstreet Boys"", ""The Game of Love (feat. Michelle Branch) - Main / Radio Mix — Santana, Michelle Branch""]",1,,,,From 'Millennium' (1999),"[""From album: Millennium"", ""Release year: 1999"", ""Spotify popularity: 85/100""]",Playlist Import,1999,
sp_0015,Shape of My Heart,Backstreet Boys,❤️,"[""Shape of My Heart — Backstreet Boys"", ""Tearin' up My Heart - Radio Edit — *NSYNC"", ""All the Love in the World — The Corrs"", ""The Hardest Thing - Original Version — 98º""]",0,,,,From 'Black & Blue' (2000),"[""From album: Black & Blue"", ""Release year: 2000"", ""Spotify popularity: 78/100""]",Playlist Import,2000,
