id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref,spotify_url
sp_0000,I Want It That Way,Backstreet Boys,🎵✨🎧,"[""Wish You Were Here — Pink Floyd"", ""California Dreamin' — The Mamas & The Papas"", ""I Want It That Way — Backstreet Boys"", ""Sunday Bloody Sunday - Remastered 2008 — U2""]",2,,,,From 'The New Best Of (All Hits & Remixes) 2016' (2016),"[""From album: The New Best Of (All Hits & Remixes) 2016"", ""Release year: 2016""]",Playlist Import,2016,,https://open.spotify.com/track/7v0kHF6tXT8ekVrJAbxpph
sp_0001,Wannabe,Spice Girls,🎵✨🎧,"[""Me and Bobby McGee — Janis Joplin"", ""Savage — Megan Thee Stallion"", ""Wannabe — Spice Girls"", ""Party Rock Anthem — LMFAO, Lauren Bennett, GoonRock""]",2,,,,From 'Spice' (1996),"[""From album: Spice"", ""Release year: 1996"", ""Spotify popularity: 82/100""]",Playlist Import,1996,,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
sp_0002,...Baby One More Time,Britney Spears,🎵✨🎧,"[""My Way — Frank Sinatra"", ""(I Can't Get No) Satisfaction - Mono Version / Remastered 2002 — The Rolling Stones"", ""Shake It Off — Taylor Swift"", ""...Baby One More Time — Britney Spears""]",3,,,,From 'Greatest Hits: My Prerogative' (2007),"[""From album: Greatest Hits: My Prerogative"", ""Release year: 2007"", ""Spotify popularity: 36/100""]",Playlist Import,2007,,https://open.spotify.com/track/7EFVJfuaqhIIvzNHZpEpth
sp_0003,Black or White - Single Version,Michael Jackson,🎵✨,"[""Poison — Alice Cooper"", ""Dreams - 2004 Remaster — Fleetwood Mac"", ""Girls Just Want to Have Fun — Cyndi Lauper"", ""Black or White - Single Version — Michael Jackson""]",3,,,,From 'The Essential Michael Jackson' (2005),"[""From album: The Essential Michael Jackson"", ""Release year: 2005"", ""Spotify popularity: 59/100""]",Playlist Import,2005,,https://open.spotify.com/track/2Cy7QY8HPLk925AyNAt6OG
sp_0004,Livin' la Vida Loca,Ricky Martin,🎵✨🎧,"[""Have You Ever Seen The Rain — Creedence Clearwater Revival"", ""I Heard It Through The Grapevine — Marvin Gaye"", ""Livin' la Vida Loca — Ricky Martin"", ""Hurts So Good — John Mellencamp""]",2,,,,From 'Ricky Martin' (1999),"[""From album: Ricky Martin"", ""Release year: 1999"", ""Spotify popularity: 78/100""]",Playlist Import,1999,,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd
sp_0005,Thunderstruck,AC/DC,🎵✨,"[""Dream On — Aerosmith"", ""Hips Don't Lie (feat. Wyclef Jean) — Shakira, Wyclef Jean"", ""I Think I Love You — The Partridge Family"", ""Thunderstruck — AC/DC""]",3,,,,From 'The Razors Edge' (1990),"[""From album: The Razors Edge"", ""Release year: 1990"", ""Spotify popularity: 87/100""]",Playlist Import,1990,,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
sp_0006,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,🎵✨🎧,"[""Macarena - Bayside Boys Remix — Los Del Rio"", ""Everybody (Backstreet's Back) - Radio Edit — Backstreet Boys"", ""Who Let The Dogs Out — Baha Men"", ""Just the Way You Are — Bruno Mars""]",1,,,,From 'The New Best Of (All Hits & Remixes) 2016' (2016),"[""From album: The New Best Of (All Hits & Remixes) 2016"", ""Release year: 2016""]",Playlist Import,2016,,https://open.spotify.com/track/2WjM5cxN10uHaNqh6OLkMv
sp_0007,Macarena - Bayside Boys Remix,Los Del Rio,🎵✨,"[""I Heard It Through The Grapevine — Marvin Gaye"", ""Macarena - Bayside Boys Remix — Los Del Rio"", ""Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground) — Shakira, Freshlyground"", ""Under Pressure - Remastered 2011 — Queen, David Bowie""]",1,,,,From 'Alegria Y Cosabuena' (2001),"[""From album: Alegria Y Cosabuena"", ""Release year: 2001"", ""Spotify popularity: 57/100""]",Playlist Import,2001,,https://open.spotify.com/track/2df5QsXucx4VLiHNGusXD5
sp_0008,Smells Like Teen Spirit,Nirvana,🎵✨🎧,"[""Smells Like Teen Spirit — Nirvana"", ""Sweet Caroline — Neil Diamond"", ""Like a Prayer — Madonna"", ""Tequila (Original) — The Champs""]",0,,,,From 'Nevermind (Remastered)' (1991),"[""From album: Nevermind (Remastered)"", ""Release year: 1991"", ""Spotify popularity: 80/100""]",Playlist Import,1991,,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T
sp_0009,Enter Sandman,Metallica,🎵✨,"[""Imagine - Remastered 2010 — John Lennon"", ""Who Let The Dogs Out — Baha Men"", ""Enter Sandman — Metallica"", ""Low (feat. T-Pain) — Flo Rida, T-Pain""]",2,,,,From 'Metallica' (1991),"[""From album: Metallica"", ""Release year: 1991"", ""Spotify popularity: 8/100""]",Playlist Import,1991,,https://open.spotify.com/track/1hKdDCpiI9mqz1jVHRKG0E
