id,title,artist,emoji,choices_json,answer_idx,preview_1s_url,preview_3s_url,preview_5s_url,context_hint,facts_json,pack,year,tv_movie_ref
p1_001,I'll Be There for You,The Rembrandts,🧑‍🤝‍🧑☕️🛋️🏙️,"[""I'll Be There for You — The Rembrandts"", 'Smelly Cat — Phoebe Buffay', 'Where Everybody Knows Your Name — Gary Portnoy', 'How You Remind Me — Nickelback']",0,https://example.com/previews/p1_001_1s.mp3,https://example.com/previews/p1_001_3s.mp3,https://example.com/previews/p1_001_5s.mp3,New York friends + coffee shop vibes,"['Clap sequence is iconic', '1995 radio edit became a hit', 'Theme to a sitcom set in NYC']",1994,Friends S1,90s TV Themes
p1_002,Pokémon Theme,Jason Paige,⚡️🧢🐭🎒,"['Dragon Ball Z Theme', 'Pokémon Theme — Jason Paige', ""Gotta Catch 'Em All — Ash"", 'Digimon Theme']",1,https://example.com/previews/p1_002_1s.mp3,https://example.com/previews/p1_002_3s.mp3,https://example.com/previews/p1_002_5s.mp3,Catch 'em all!,"['Saturday-morning staple', 'Helped launch a global franchise', 'Power-ballad energy for kids']",1997,Pokémon S1,90s TV Themes
p1_003,The Fresh Prince of Bel-Air Theme,DJ Jazzy Jeff & The Fresh Prince,👑🧢🎤🏠➡️🏰,"['The Fresh Prince of Bel-Air Theme', 'Kenan & Kel Theme', 'All That Theme', 'Sister, Sister Theme']",0,https://example.com/previews/p1_003_1s.mp3,https://example.com/previews/p1_003_3s.mp3,https://example.com/previews/p1_003_5s.mp3,West Philly to a wealthy LA neighborhood,"['Narrated origin story in the lyrics', 'Launched Will Smith’s TV fame', 'One of the most recognizable rap sitcom themes']",1990,The Fresh Prince of Bel‑Air,90s TV Themes
p1_004,X-Men Animated Theme,Ron Wasserman,❌🧬🦸‍♂️⚡️,"['Batman: TAS Theme', 'X-Men Animated Theme', 'Power Rangers Theme', 'Spider-Man Animated Theme']",1,https://example.com/previews/p1_004_1s.mp3,https://example.com/previews/p1_004_3s.mp3,https://example.com/previews/p1_004_5s.mp3,Guitar riff + mutant roll call,"['Prog-rocky guitar lead', 'No lyrics, pure riff power', '1992 Fox Kids staple']",1992,X-Men: The Animated Series,90s TV Themes
p1_005,Rugrats Theme,Mark Mothersbaugh,🍼🧸👶🎶,"['Hey Arnold! Theme', 'Doug Theme', 'Rugrats Theme', 'CatDog Theme']",2,https://example.com/previews/p1_005_1s.mp3,https://example.com/previews/p1_005_3s.mp3,https://example.com/previews/p1_005_5s.mp3,Synthy baby chaos,"[""Devo's Mark Mothersbaugh composed it"", 'Weird, tinkly synths', 'Nostalgia core for millennials']",1991,Rugrats,90s TV Themes
p1_006,Twin Peaks Theme,Angelo Badalamenti,🌲🏔️☕️🥧,"['Twin Peaks Theme', 'The X-Files Theme', 'Buffy Theme', 'ER Theme']",0,https://example.com/previews/p1_006_1s.mp3,https://example.com/previews/p1_006_3s.mp3,https://example.com/previews/p1_006_5s.mp3,"Damn fine coffee, eerie vibes","['Haunting dream-pop atmosphere', 'Won a Grammy', 'Defined surreal small-town mystery']",1990,Twin Peaks,90s TV Themes
p1_007,The X-Files Theme,Mark Snow,🛸🔦🧪❓,"['The X-Files Theme', 'Goosebumps Theme', 'Are You Afraid of the Dark?', 'Charmed Theme']",0,https://example.com/previews/p1_007_1s.mp3,https://example.com/previews/p1_007_3s.mp3,https://example.com/previews/p1_007_5s.mp3,"Whistling synth, paranormal cases","['Synth whistle motif', 'Aliens + conspiracies', ""'The truth is out there'""]",1993,The X-Files,90s TV Themes
p1_008,Kenan & Kel Theme,Coolio,🧢🥤🛒😂,"['All That Theme', 'Kenan & Kel Theme', 'Sister, Sister Theme', 'Smart Guy Theme']",1,https://example.com/previews/p1_008_1s.mp3,https://example.com/previews/p1_008_3s.mp3,https://example.com/previews/p1_008_5s.mp3,"Intro rap: 'Aw, here it goes!'","['Performed by Coolio', 'Nickelodeon 1996', 'Slapstick duo energy']",1996,Kenan & Kel,90s TV Themes
p1_009,Sailor Moon Theme,Nicole & Brynne Price,🌙💖🔮🪄,"['Cardcaptor Sakura Theme', 'Sailor Moon Theme', 'Winx Club Theme', 'Totally Spies Theme']",1,https://example.com/previews/p1_009_1s.mp3,https://example.com/previews/p1_009_3s.mp3,https://example.com/previews/p1_009_5s.mp3,"Magical girls, moon tiara action","['English dub theme became cult', 'Transformation sequences galore', 'OG mahō shōjo for many']",1992,Sailor Moon,90s TV Themes
p1_010,Hey Arnold! Theme,Jim Lang,🏈👃🏙️🎺,"['Doug Theme', 'Hey Arnold! Theme', 'Recess Theme', 'Pepper Ann Theme']",1,https://example.com/previews/p1_010_1s.mp3,https://example.com/previews/p1_010_3s.mp3,https://example.com/previews/p1_010_5s.mp3,Urban jazz + stoop life,"['Jazzy horn-led groove', 'City slice-of-life', 'Football head legend']",1996,Hey Arnold!,90s TV Themes
p2_011,Take On Me,a-ha,📈🫨✍️🎞️,"['Take On Me — a-ha', 'Hungry Like the Wolf — Duran Duran', 'Everybody Wants to Rule the World — Tears for Fears', 'Africa — Toto']",0,https://example.com/previews/p2_011_1s.mp3,https://example.com/previews/p2_011_3s.mp3,https://example.com/previews/p2_011_5s.mp3,Sketchy rotoscope video flips to real life,"['High-note chorus falsetto', 'Iconic pencil-sketch video', '1985 synth-pop classic']",1985,MTV era,One-Hit Wonders
